"Timestamp","Were you born in Mexico?
Naciste en México?","En qué estado naciste?","What country  are you from?","How long have you been in Mexico/Mexico City?","Do you rent, have your own house/apartment or something else?","If you rent, how much do you pay for month?","If you rent, do you use some type of platform like Airbnb?","If you do, how much time do you rent in each house/apartment?","Do you work remotely, hybrid or in-person?","If you work remotely or hybrid, do you are working from Mexico?","Something you like to add?"
"2023/06/14 11:57:38 AM CST","Yes","CDMX ","Mexico ","5 años más ","Something else","10000","No","1 año ","In-person","","No "
"2023/06/14 12:03:04 PM CST","No","","USA ","45 days","","","","","Hybrid","",""
"2023/06/14 12:03:47 PM CST","No","","USA ","5 days","","","No","","Remote","",""
"2023/06/14 12:49:38 PM CST","Yes","Baja California ","","11 meses","Something else","","","","In-person","",""
"2023/06/14 12:53:11 PM CST","No","","Holanda","6 años","Rent","10000","No","Un año","Remote","",""
"2023/06/14 12:54:34 PM CST","No","","Francia","4 años ","Rent","35000","No","Un año","","",""
"2023/06/14 1:08:53 PM CST","No","","USA ","Week","Rent","7755","Yes","3 months","","No","Here it's great, I can't get enough of it"
"2023/06/14 1:11:26 PM CST","Yes","CDMX ","","","","","","","","",""
"2023/06/14 1:20:10 PM CST","No","","República Dominicana ","6 años en México ","Rent","10000","No","Un año","In-person","Yes",""
"2023/06/19 8:55:10 PM CST","Yes","CDMX","","","Something else","","","","In-person","",""
"2023/06/19 8:55:47 PM CST","Yes","CDMX","","","Rent","23000","","","Remote","Yes",""
"2023/06/19 8:56:28 PM CST","No","","Uruguay","1 sem","Rent","","Yes","","Remote","Yes",""
"2023/06/19 8:56:44 PM CST","No","","Uruguay","","Rent","","Yes","","Hybrid","Yes",""
"2023/06/19 8:57:13 PM CST","Yes","Sinaloa","","","Rent","","No","","Remote","Yes",""
"2023/06/19 8:58:40 PM CST","No","","USA","1 sem","Rent","43560","Yes","","Remote","No",""
"2023/06/19 8:59:10 PM CST","No","","USA","1 sem","Rent","43560","Yes","","Remote","No",""
"2023/06/19 8:59:52 PM CST","Yes","Michoacan","","","Rent","5000","No","","In-person","Yes",""
"2023/06/19 9:00:59 PM CST","No","","Germany","2 sem","Rent","","Yes","22200","Remote","Yes",""
"2023/06/19 9:01:26 PM CST","Yes","CDMX","","","Rent","1600","No","","In-person","",""
"2023/06/19 9:01:38 PM CST","Yes","CDMX","","","Something else","","","","In-person","",""
"2023/06/19 9:02:35 PM CST","Yes","Jalisco","","","Rent","","No","15000","","",""
"2023/06/19 9:03:02 PM CST","Yes","CDMX","","","Have a house/apartment","","","","Remote","Yes",""
"2023/06/19 9:03:29 PM CST","Yes","Puebla","","","Have a house/apartment","","","","Remote","Yes",""
"2023/06/19 9:03:49 PM CST","Yes","CDMX","","","Have a house/apartment","","","","In-person","",""
"2023/06/19 9:04:38 PM CST","No","","USA","1anno","Rent","7000","No","","Remote","Yes",""
"2023/06/19 9:05:16 PM CST","Yes","CDMX","","","Something else","","","","Remote","Yes",""
"2023/06/19 9:06:14 PM CST","No","","USA","","Rent","20000","No","","","",""
"2023/06/19 9:06:43 PM CST","No","","Germany","","Rent","20000","No","","In-person","",""
"2023/06/19 9:07:15 PM CST","No","","USA","","Rent","13500","Yes","","Hybrid","Yes",""
"2023/06/19 9:07:44 PM CST","Yes","Jalisco","","","Something else","","","","In-person","",""
"2023/06/19 9:08:45 PM CST","No","","Argentina","1 1/2 anno","Rent","","No","","In-person","",""
"2023/06/19 9:09:51 PM CST","No","","Argentina","","Rent","140000","No","","Hybrid","Yes",""
"2023/06/19 9:10:27 PM CST","No","","Argentina","2 annos","Rent","18000","No","","Hybrid","Yes",""
"2023/06/19 9:11:17 PM CST","No","","England","10 meses","Something else","","","","In-person","",""
"2023/06/19 9:11:53 PM CST","No","","Scotland","10 meeses","Rent","","No","","In-person","",""
"2023/06/19 9:12:19 PM CST","Yes","Michoacan","","","Rent","7000","No","","In-person","",""
"2023/06/19 9:12:52 PM CST","No","EdoMex","","","Rent","8000","No","","In-person","",""
"2023/06/19 9:13:21 PM CST","Yes","Puebla","","","Rent","14000","No","","Emprende, estudia u otra forma","",""
"2023/06/19 9:14:06 PM CST","Yes","CDMX","","","Rent","1900","No","","In-person","",""
"2023/06/19 9:14:32 PM CST","No","","Portugal","","Rent","22000","No","","Emprende, estudia u otra forma","",""
"2023/06/20 7:28:41 AM CST","No","corn wall ontario ","canada ","2 months ","Rent","10000 ","No","one year ","In-person","No","Mexico is awesome"
"2023/06/20 7:31:17 AM CST","No","okinawa ","japan","10 years ","Have a house/apartment","I don't rent ","No","","In-person","Yes","sometimes when you are from another country you have more problems to fine a apartment "
"2023/06/20 7:32:11 AM CST","Yes","Estado de mexico ","mexico ","desde que naci","Have a house/apartment","","No","","Hybrid","Yes",""
"2023/06/20 7:57:15 AM CST","Yes","chihuahua","","20 años ","Something else","","Yes","","In-person","Yes",""
"2023/06/20 8:37:11 AM CST","Yes","Tlaxcala ","México ",".","Rent","2500","No","No","Emprende, estudia u otra forma","Yes","No"
"2023/06/20 9:40:28 AM CST","Yes","Puebla","México","21 years","Have a house/apartment","","","","Emprende, estudia u otra forma","","No"
